wrong,updated,animal,shank
1,1,3xTg1-1,shank1
2,2,3xTg1-1,shank1
3,3,3xTg1-1,shank1
4,4,3xTg1-1,shank1
5,5,3xTg1-1,shank1
6,6,3xTg1-1,shank1
7,7,3xTg1-1,shank1
8,8,3xTg1-1,shank1
9,9,3xTg1-1,shank1
10,10,3xTg1-1,shank1
11,11,3xTg1-1,shank1
12,12,3xTg1-1,shank1
13,13,3xTg1-1,shank1
14,14,3xTg1-1,shank1
15,15,3xTg1-1,shank1
16,16,3xTg1-1,shank1
17,17,3xTg1-1,shank1
18,18,3xTg1-1,shank1
19,19,3xTg1-1,shank1
20,20,3xTg1-1,shank1
21,21,3xTg1-1,shank1
22,22,3xTg1-1,shank1
23,23,3xTg1-1,shank1
24,24,3xTg1-1,shank1
25,25,3xTg1-1,shank1
26,26,3xTg1-1,shank1
27,27,3xTg1-1,shank1
28,28,3xTg1-1,shank1
29,29,3xTg1-1,shank1
30,30,3xTg1-1,shank1
31,31,3xTg1-1,shank1
32,32,3xTg1-1,shank1
33,33,3xTg1-1,shank1
34,34,3xTg1-1,shank1
35,35,3xTg1-1,shank1
36,36,3xTg1-1,shank1
37,37,3xTg1-1,shank1
38,38,3xTg1-1,shank1
39,39,3xTg1-1,shank1
40,40,3xTg1-1,shank1
41,41,3xTg1-1,shank1
42,42,3xTg1-1,shank1
43,43,3xTg1-1,shank1
44,44,3xTg1-1,shank1
45,45,3xTg1-1,shank1
46,46,3xTg1-1,shank1
47,47,3xTg1-1,shank1
48,48,3xTg1-1,shank1
49,49,3xTg1-1,shank1
50,50,3xTg1-1,shank1
51,51,3xTg1-1,shank1
52,52,3xTg1-1,shank1
53,53,3xTg1-1,shank1
54,54,3xTg1-1,shank1
55,55,3xTg1-1,shank1
56,56,3xTg1-1,shank1
57,57,3xTg1-1,shank1
58,58,3xTg1-1,shank1
59,59,3xTg1-1,shank1
60,60,3xTg1-1,shank1
61,61,3xTg1-1,shank1
62,62,3xTg1-1,shank1
63,63,3xTg1-1,shank1
64,64,3xTg1-1,shank1
1,1,3xTg1-1,shank2
2,2,3xTg1-1,shank2
3,3,3xTg1-1,shank2
4,4,3xTg1-1,shank2
5,5,3xTg1-1,shank2
6,6,3xTg1-1,shank2
7,7,3xTg1-1,shank2
8,8,3xTg1-1,shank2
9,9,3xTg1-1,shank2
10,10,3xTg1-1,shank2
11,11,3xTg1-1,shank2
12,12,3xTg1-1,shank2
13,13,3xTg1-1,shank2
14,14,3xTg1-1,shank2
15,15,3xTg1-1,shank2
16,16,3xTg1-1,shank2
17,17,3xTg1-1,shank2
18,18,3xTg1-1,shank2
19,20,3xTg1-1,shank2
20,21,3xTg1-1,shank2
21,22,3xTg1-1,shank2
22,23,3xTg1-1,shank2
23,24,3xTg1-1,shank2
24,25,3xTg1-1,shank2
25,26,3xTg1-1,shank2
26,27,3xTg1-1,shank2
27,28,3xTg1-1,shank2
28,29,3xTg1-1,shank2
29,30,3xTg1-1,shank2
30,31,3xTg1-1,shank2
31,32,3xTg1-1,shank2
32,33,3xTg1-1,shank2
33,34,3xTg1-1,shank2
34,36,3xTg1-1,shank2
35,37,3xTg1-1,shank2
36,38,3xTg1-1,shank2
37,39,3xTg1-1,shank2
