Animal,shank,binary_t0,binary_t1
3xTg1-1,shank1,,
3xTg1-1,shank2,0,end
3xTg1-1,shank3,0,end
3xTg1-1,shank4,,
3xTg1-1,shank5,0,end
3xTg1-1,shank6,,
3xTg1-1,shank7,,
3xTg1-1,shank8,,
3xTg75-1,shank1,0,end
3xTg75-1,shank2,,
3xTg75-1,shank3,0,end
3xTg75-1,shank4,,
3xTg75-1,shank5,0,end
3xTg75-1,shank6,,
3xTg75-1,shank7,,
3xTg75-1,shank8,,
3xTg79-0,shank1,0,end
3xTg79-0,shank2,0,end
3xTg79-0,shank3,0,end
3xTg79-0,shank4,,
3xTg79-0,shank5,,
3xTg79-0,shank6,0,end
3xTg79-0,shank7,0,end
3xTg79-0,shank8,,
AD-WT-1-0,shank1,,
AD-WT-1-0,shank2,,
AD-WT-1-0,shank3,0,end
AD-WT-1-0,shank4,,
AD-WT-1-0,shank5,,
AD-WT-1-0,shank6,,
AD-WT-1-0,shank7,0,end
AD-WT-1-0,shank8,,
WT77-0,shank1,,
WT77-0,shank2,0,end
WT77-0,shank3,0,end
WT77-0,shank4,,
WT77-0,shank5,,
WT77-0,shank6,,
WT77-0,shank7,,
WT77-0,shank8,0,end
WT78-0,shank1,0,end
WT78-0,shank2,0,end
WT78-0,shank3,,
WT78-0,shank4,,
WT78-0,shank5,,
WT78-0,shank6,,
WT78-0,shank7,,
WT78-0,shank8,0,end
WT89-0,shank1,,
WT89-0,shank2,0,end
WT89-0,shank3,0,end
WT89-0,shank4,,
WT89-0,shank5,0,end
WT89-0,shank6,0,8010
WT89-0,shank7,,
WT89-0,shank8,,
WT45-1,shank1,,
WT45-1,shank2,0,end
WT45-1,shank3,0,end
WT45-1,shank4,,
WT45-1,shank5,,
WT45-1,shank6,,
WT45-1,shank7,,
WT45-1,shank8,0,end
WT45-2,shank1,,
WT45-2,shank2,,
WT45-2,shank3,0,end
WT45-2,shank4,0,end
WT45-2,shank5,0,end
WT45-2,shank6,,
WT45-2,shank7,,
WT45-2,shank8,,
WT98-0,shank1,,
WT98-0,shank2,,
WT98-0,shank3,,
